Yahoo_Finance_Stock_Quote
PTT.BK
AOT.BK
ADVANC.BK
GULF.BK
CPALL.BK
PTTEP.BK
SCC.BK
SCB.BK
EA.BK
BDMS.BK
KBANK.BK
OR.BK
SCGP.BK
PTTGC.BK
IVL.BK
INTUCH.BK
GPSC.BK
BBL.BK
CPN.BK
CPF.BK
CRC.BK
KTB.BK
HMPRO.BK
KTC.BK
TRUE.BK
MINT.BK
AWC.BK
TTB.BK
BEM.BK
MTC.BK
BTS.BK
CBG.BK
BH.BK
TOP.BK
DTAC.BK
LH.BK
BGRIM.BK
OSP.BK
KCE.BK
COM7.BK
TU.BK
GLOBAL.BK
EGCO.BK
STGT.BK
TIDLOR.BK
SAWAD.BK
IRPC.BK
TISCO.BK
BANPU.BK
RATCH.BK
